source,author,title,description,url,urlToImage,publishedAt,content,source_name
"{'id': 'espn', 'name': 'ESPN'}",James Olley,"Reviving Arsenal: Kroenke reflects on Super League fallout, Arteta's success",Arsenal owner Josh Kroenke sits down with ESPN to talk about KSE's vision for the Premier League giants and how it's translating to success.,https://www.espn.com/soccer/story/_/id/40676836/how-josh-kroenke-kse-revitalised-arsenal-title-interview,https://a2.espncdn.com/combiner/i?img=%2Fphoto%2F2024%2F0730%2Fr1365397_1296x729_16%2D9.jpg,2024-07-30T16:53:37Z,"LOS ANGELES -- Arsenal co-chair Josh Kroenke is in a tent looking out over a field at Loyola Marymount University, where Arsenal manager Mikel Arteta and LA Rams head coach Sean McVay have just finis… [+20716 chars]",ESPN
"{'id': None, 'name': 'Independent.ie'}",Daniel McDonnell,Jake O’Brien seals ‘dream’ move to Everton in deal expected to reach £20million in add-ons,Jake O’Brien says he is determined to repay the faith that Everton have shown in him after finalising his switch to the Premier League for an ‘undisclosed fee’ that is expected to reach €20m with basic add-ons.,https://www.independent.ie/sport/soccer/premier-league/jake-obrien-seals-dream-move-to-everton-in-deal-expected-to-reach-20million-in-add-ons/a1509639025.html,https://focus.independent.ie/thumbor/IvXKmtA0xoV2E1lhen_GVAVIrgg=/15x0:2737x1814/629x0/prod-mh-ireland/d6a6fb4e-b20d-4851-8e8c-80e92ab8e52a/bc81d8be-8f38-4fa4-8ad7-1e159915102f/d6a6fb4e-b20d-4851-8e8c-80e92ab8e52a.jpg,2024-07-30T16:50:51Z,Jake OBrien says he is determined to repay the faith that Everton have shown in him after finalising his switch to the Premier League for an undisclosed fee that is expected to reach 20m with basic a… [+3761 chars],Independent.ie
"{'id': None, 'name': 'SB Nation'}",Calvin,CONFIRMED: Everton sign young defender Jake O’Brien,The Blues have an eye to the future with the hulking Irish international,https://royalbluemersey.sbnation.com/2024/7/30/24208907/confirmed-everton-transfer-news-sign-jake-obrien-olympique-lyon-seamus-coleman-branthwaite-tarkowski,https://cdn.vox-cdn.com/thumbor/vCYU571STUvmOxc5xg0_eZ0fYt4=/0x21:1440x775/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25552276/JOB1.png,2024-07-30T16:33:05Z,The Blues have an eye to the future with the hulking Irish international Everton have confirmed their fifth signing of the summer and it’s not even August yet with the addition of rising star defende… [+4072 chars],SB Nation
"{'id': None, 'name': 'Sky Sports'}",Ben Grounds,Everton complete deal for Lyon defender O'Brien,Everton have signed Republic of Ireland defender Jake O'Brien from Lyon.,https://www.skysports.com/football/news/11671/13186329/jake-obrien-everton-sign-republic-of-ireland-defender-from-lyon,https://e0.365dm.com/24/07/1600x900/skysports-jake-o-brien-lyon_6640965.jpg?20240727181807,2024-07-30T16:30:00Z,"Everton have signed Republic of Ireland defender Jake O'Brien from Lyon.
The 23-year-old centre-back has signed a four-year deal and returns to the Premier League, having only joined the Ligue 1 clu… [+5001 chars]",Sky Sports
"{'id': 'cbs-news', 'name': 'CBS News'}",Meredith Gordon,How to watch today's USA vs. Guinea men's Olympic soccer game,Team USA (USMNT) faces Guinea in men's Olympic soccer. Find out how and when to watch today's match.,https://www.cbsnews.com/essentials/how-to-watch-the-usa-vs-guinea-mens-olympic-soccer-game-today-livestream-options-more/,https://assets3.cbsnewsstatic.com/hub/i/r/2024/07/29/189e6b06-28de-4c94-9111-e2e4e0fc0d5d/thumbnail/1200x630/12925169d28866ad23787e82883e8bc1/gettyimages-2163946311-1.jpg?v=5501038cbc281520ff9fdc308faab7dc,2024-07-30T14:06:00Z,Walker Zimmerman #3 of Team USA celebrates scoring his team's second goal during the Men's group A match between New Zealand and United States during the Olympic Games Paris 2024 at Stade de Marseill… [+8615 chars],CBS News
"{'id': 'four-four-two', 'name': 'FourFourTwo'}",Ryan Dabbs,Manchester United to sign wonderkid dubbed 'the next Victor Osimhen': report,Manchester United are looking to add an extremely talented youngster to their ranks in the coming future,https://www.fourfourtwo.com/news/manchester-united-transfer-news-to-sign-wonderkid-dubbed-the-next-victor-osimhen-report-signings-man-utd-gossip-paper-talk-rumours-mufc-ggmu,https://cdn.mos.cms.futurecdn.net/L7wPvRx8xz9LfubsSm4Rxn-1200-80.png,2024-07-30T14:00:40Z,"Manchester United are looking to add another striker to their squad this summer, with one target having been compared to Victor Osimhen.
Having already added Joshua Zirkzee to their side to provide … [+2806 chars]",FourFourTwo
"{'id': None, 'name': 'BBC News'}",Simon Stone in San Diego,Man Utd join Real Betis in 'green' San Diego event,Real Betis CEO Ramon Alarcon accepts green initiative before Man Utd game doesn't fix bigger environmental impact.,https://www.bbc.com/sport/football/articles/cxw2zjn4kpmo,https://ichef.bbci.co.uk/news/1024/branded_sport/39ba/live/651d83f0-4e2e-11ef-aebc-6de4d31bf5cd.jpg,2024-07-30T12:48:36Z,Real Betis chief executive Ramon Alarcon accepts an environmental initiative called The Greenest Game being held before their fixture with Manchester United in San Diego does not address the bigger i… [+2415 chars],BBC News
"{'id': None, 'name': 'Sky Sports'}","Lyall Thomas, Dev Trehan and Anthony Joseph",Former Villa and Everton winger El Ghazi to pursue Cardiff City move,Mainz winger Anwar El Ghazi is in discussions to terminate his contract to pursue a move to Cardiff City.,https://www.skysports.com/football/news/11095/13187341/anwar-el-ghazi-former-aston-villa-and-everton-winger-set-to-pursue-cardiff-city-move-after-contract-termination-at-mainz,https://e0.365dm.com/24/07/1600x900/skysports-anwar-el-ghazi-mainz_6642892.jpg?20240730130321,2024-07-30T11:55:00Z,"Mainz winger Anwar El Ghazi is in discussions to terminate his contract to pursue a move to Cardiff City.
The former Everton and Aston Villa player won a wrongful dismissal case against the German c… [+1559 chars]",Sky Sports
"{'id': None, 'name': 'Sky Sports'}",Alison Conroy and Mark Benstead,Docherty can 'feel the excitement' ahead of his first Dundee derby,Tony Docherty hopes a strong performance in his first Dundee derby as a manager will set the standard for the rest of Dundee's Scottish Premiership campaign.,https://www.skysports.com/football/news/11095/13187312/tony-docherty-can-feel-the-excitement-ahead-of-his-first-dundee-derby,https://e0.365dm.com/24/07/1600x900/skysports-tony-docherty-dundee_6642779.jpg?20240730111446,2024-07-30T10:25:00Z,"Tony Docherty hopes a strong performance in his first Dundee derby as a manager will set the standard for the rest of Dundee's Scottish Premiership campaign. 
They face city rivals United at Tannadi… [+3281 chars]",Sky Sports
"{'id': 'four-four-two', 'name': 'FourFourTwo'}",Joe Mewis,Manchester United star reveals shock future plans as contract ticks down,Manchester United are currently in Los Angeles for their pre-season tour of the USA,https://www.fourfourtwo.com/news/manchester-united-star-reveals-shock-future-plans-as-contract-ticks-down,https://cdn.mos.cms.futurecdn.net/Nbemd2HkV8eMPzmBb7fd6G-1200-80.jpg,2024-07-30T10:00:09Z,"Manchester United midfielder Christian Eriksen has outlined his future plans, which could see him putting his talents on display in a surprising arena once he decides his time at the top of the game … [+2483 chars]",FourFourTwo
"{'id': None, 'name': 'SB Nation'}",chapulana,Eddie Howe reveals FA position for his candidacy to England’s role,New on the FA and Three Lions front coming straight from the source.,https://cominghomenewcastle.sbnation.com/2024/7/30/24209382/eddie-howe-reveals-fa-position-for-his-candidacy-to-englands-role,https://cdn.vox-cdn.com/thumbor/9m7mWfK_k9wXHjwWONIkKOEG0xk=/0x0:8256x4323/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25551755/2163838965.jpg,2024-07-30T09:00:00Z,"Photo by YUICHI YAMAZAKI/AFP via Getty Images

 

 New on the FA and Three Lions front coming straight from the source. Right after landing in Japan ahead of the two preseason friendlies Newcastle w… [+2045 chars]",SB Nation
"{'id': None, 'name': 'Arsenal.com'}",,Gallery: Training at Philadelphia Union,"Ahead of our next pre-season friendly against Liverpool, Mikel Arteta’s squad have been working hard at Philadelphia Union",https://www.arsenal.com/news/gallery-training-philadelphia-union,https://www.arsenal.com/sites/default/files/styles/desktop_16x9/public/images/Philadelphia-Union.png?h=d70c67d9&auto=webp&itok=v1jFf8qS,2024-07-30T08:22:19Z,"After his team trained at Philadelphia Unions Subaru Park on Monday, Mikel Arteta held a pre-match press conference ahead of our game against Liverpool.
Having announced the signing of Riccardo Cala… [+5394 chars]",Arsenal.com
"{'id': None, 'name': 'Sky Sports'}",Melissa Reddy,Reinvigorated Man Utd on front foot with transfers and preparations,"Bar the opening 33 minutes at the extravagant SoFi Stadium, in which Rasmus Hojlund and Leny Yoro were both heading straight down the tunnel after sustaining injuries, Manchester United's pre-season has been painted by positive vibes.",https://www.skysports.com/football/news/37134/13187235/man-utd-on-front-foot-with-transfers-and-pre-season-preparations-despite-leny-yoro-and-rasmus-hojlund-injury-scares,https://e0.365dm.com/24/07/1600x900/skysports-premier-league-football_6642661.jpg?20240730090238,2024-07-30T08:00:00Z,"Bar the opening 33 minutes at the extravagant SoFi Stadium, in which Rasmus Hojlund and Leny Yoro were both heading straight down the tunnel after sustaining injuries, Manchester United's pre-season … [+7109 chars]",Sky Sports
"{'id': None, 'name': 'Sky Sports'}",Alison Conroy and Mark Benstead,St Mirren ready to 'embrace the pressure',"St Mirren manager Stephen Robinson has told his players to ""embrace the pressure"" that will follow their success of last season.",https://www.skysports.com/football/news/11797/13187241/scottish-premiership-st-mirren-ready-to-embrace-the-pressure-says-manager-stephen-robinson,https://e0.365dm.com/24/07/1600x900/skysports-stephen-robinson_6642682.jpg?20240730093757,2024-07-30T08:00:00Z,"St Mirren manager Stephen Robinson has told his players to ""embrace the pressure"" that will follow their success of last season.
The Buddies secured a top-six finish in the Scottish Premiership and … [+3018 chars]",Sky Sports
"{'id': None, 'name': 'Untold-arsenal.com'}",Tony Attwood,Arsenal tipped to buy centre forward but get 3 keepers and a left back,"Hilarious cover up by media of media’s lack of insight Are Arsenal getting value for money in the tra By Sir Hardly Anyone It is, as a wise man once said, a funny ol’ game.   With Arsenal repeatedly tipped everywhere to be buying a centre forward we still hav…",https://untold-arsenal.com/archives/108120,https://untold-arsenal.com/wp-content/uploads/2023/07/Football-should-be-an-art.jpg,2024-07-30T07:21:25Z,"By Sir Hardly Anyone
It is, as a wise man once said, a funny ol’ game.   With Arsenal repeatedly tipped everywhere to be buying a centre forward we still have no sign of one and instead, Arsenal hav… [+4320 chars]",Untold-arsenal.com
"{'id': None, 'name': 'SB Nation'}",Peter Creer,"Tuesday’s Everton News: O’Brien medical done, Diarra bid, Welch loan, Gnonto stalemate",Recapping all the Everton news from yesterday.,https://royalbluemersey.sbnation.com/24209205/everton-transfer-news-jake-obrien-medical-done-habib-diarra-bid-reece-welch-loan-wilfried-gnonto,https://cdn.vox-cdn.com/thumbor/AYi_Nw0M9I6oEyL4sc31VEhP7nQ=/0x572:5057x3220/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25551453/2151518231.jpg,2024-07-30T06:00:00Z,"Jonathan David of Lille OSC duels with Jake O’Brien of Olympique Lyonnais | Photo by ANP via Getty Images

 

 Recapping all the Everton news from yesterday. 
 
 
Your daily dose of Everton news and… [+4212 chars]",SB Nation
"{'id': None, 'name': 'Thefutoncritic.com'}",,"Prime Video Releases First Look Images for UK Original Drama Series ""Malice"" as Production Wraps","The psychological thriller stars David Duchovny, Carice van Houten and Jack Whitehall.",http://www.thefutoncritic.com/news/2024/07/29/prime-video-releases-first-look-images-for-uk-original-drama-series-malice-as-production-wraps-213015/20240729amazon02/,,2024-07-29T23:01:00Z,"Prime Video Releases First Look Images for UK Original Drama Series ""Malice"" as Production Wraps
The psychological thriller stars David Duchovny, Carice van Houten and Jack Whitehall
The series fil… [+7355 chars]",Thefutoncritic.com
"{'id': None, 'name': 'Sky Sports'}",,Papers: Napoli open to including Osimhen in Lukaku deal,The top stories and transfer rumours from Tuesday's newspapers...,https://www.skysports.com/football/transfer-paper-talk/12709/13187142/napoli-open-to-including-victor-osimhen-in-deal-with-chelsea-for-romelu-lukaku-paper-talk,https://e0.365dm.com/19/10/1600x900/skysports-paper-talk-papers_4819668.jpg?20200516213727,2024-07-29T21:15:00Z,"The top stories and transfer rumours from Tuesday's newspapers...
THE GUARDIAN 
Napoli are open to including Romelu Lukaku in discussions with Chelsea over Victor Osimhen, with the Serie A side kee… [+3201 chars]",Sky Sports
"{'id': None, 'name': 'Arsenal.com'}",,Every word from Mikel's pre-Liverpool presser,"The boss chatted about Riccardo Calafiori, Arne Slot, being in Philadelphia and more during his match preview",https://www.arsenal.com/news/every-word-mikels-pre-liverpool-presser-2,https://www.arsenal.com/sites/default/files/styles/desktop_16x9/public/images/arteta-training-la.png?h=6dff888f&auto=webp&itok=hSSC98WK,2024-07-29T20:47:26Z,"After his team trained at Philadelphia Unions Subaru Park on Monday, Mikel Arteta held a pre-match press conference ahead of our game against Liverpool.
Having announced the signing of Riccardo Cala… [+5394 chars]",Arsenal.com
"{'id': None, 'name': 'SB Nation'}",Emmanuel Odey,Manchester City Pre-season Hampered by Players’ Absence,Senior Stars Yet To Return,https://bitterandblue.sbnation.com/2024/7/29/24208903/manchester-city-pre-season-hampered-by-players-absence,https://cdn.vox-cdn.com/thumbor/F4t5bC-epzUsqQCM9TeU_JNLM38=/0x357:5000x2975/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25551059/2163987960.jpg,2024-07-29T19:45:00Z,"Photo by Stephen Nadler/ISI Photos/Getty Images

 

 Senior Stars Yet To Return Manchester City’s pre-season team has been largely unrecognisable. Except for Erling Haaland and Jack Grealish, most o… [+2913 chars]",SB Nation
"{'id': 'four-four-two', 'name': 'FourFourTwo'}",Sean Cole,"Liverpool star has emphatic say on Arne Slot’s ‘elegant, Dutch-style’ football",Reds supporters could be in for a shock as the team move away from Jurgen Klopp's 'heavy metal football' under their new manager,https://www.fourfourtwo.com/news/liverpool-star-has-emphatic-say-on-arne-slots-elegant-dutch-style-football,https://cdn.mos.cms.futurecdn.net/8VN6ZTC84cLwBRz7RdGiBh-1200-80.jpg,2024-07-29T19:00:00Z,"Liverpool had a very clear identity under Jurgen Klopp as they played high octane football designed to disturb their opponents' rhythm. 
Supporters embraced this approach and it was successful too, … [+2551 chars]",FourFourTwo
"{'id': None, 'name': 'Arsenal.com'}",,In pictures: Calafiori's first day as a Gunner,See everything our new signing got up to in his first 24 hours at the club after arriving from Bologna,https://www.arsenal.com/news/pictures-calafioris-first-day-gunner,https://www.arsenal.com/sites/default/files/styles/desktop_16x9/public/images/calafiori-training-philadelphia.png?h=2e7ce19d&auto=webp&itok=H9dm-Zgv,2024-07-29T18:36:00Z,"After completing his move to Arsenal, Riccardo Calafiori revealed putting pen to paper was the culmination of a decade-long dream to sign for a Premier League club.
A whirlwind couple of days has se… [+2844 chars]",Arsenal.com
"{'id': 'four-four-two', 'name': 'FourFourTwo'}",Sean Cole,"'I don’t think England have to appoint an English manager – as long as the new manager has success, nobody will care where he’s from’: Premier League legend weighs in on Three Lions boss debate","The FA are taking their time to name a replacement for Gareth Southgate, whose eight-year reign ended with defeat in the Euro 2024 final",https://www.fourfourtwo.com/news/i-dont-think-england-have-to-appoint-an-english-manager-as-long-as-the-new-manager-has-success-nobody-will-care-where-hes-from-premier-league-legend-weighs-in-on-three-lions-boss-debate,https://cdn.mos.cms.futurecdn.net/TQdNuc6V35vpifLvyHbZHM-1200-80.jpg,2024-07-29T18:00:00Z,"Robbie Keane believes that Mauricio Pochettino's nationality shouldn't be a barrier to him potentially taking over as England manager.
The former Tottenham Hotspur and Chelsea boss, who won 20 inter… [+2729 chars]",FourFourTwo
"{'id': 'cbs-news', 'name': 'CBS News'}",Meredith Gordon,How to watch the USA vs. Japan Olympic women's basketball game,"Breanna Stewart, Sabrina Ionescu, Diana Taurasi and the Team USA Olympic women's basketball team face Japan today.",https://www.cbsnews.com/essentials/how-to-watch-the-usa-vs-japan-olympic-womens-basketball-game-today/,https://assets2.cbsnewsstatic.com/hub/i/r/2024/07/29/2f8e9bf3-49b4-49fe-bada-3c56570374e1/thumbnail/1200x630/479176ee372c22436751bf74943c9a94/gettyimages-2163312535-1.jpg?v=5501038cbc281520ff9fdc308faab7dc,2024-07-29T17:24:33Z,"Breanna Stewart #10 of the United States drives to the basket defended by Nyara Sabally #8 of Germany during the USA V Germany, USA basketball showcase Women's basketball match in preparation for the… [+9215 chars]",CBS News
"{'id': None, 'name': 'Arsenal.com'}",,"Calafiori on Arsenal move: ""It's a dream""",Hear from the Italian international defender in his first interview after signing for Arsenal from Bologna,https://www.arsenal.com/news/calafiori-arsenal-move-its-dream,https://www.arsenal.com/sites/default/files/styles/desktop_16x9/public/images/calafiori-interview.png?h=3c8f2bed&auto=webp&itok=5AN7Yy3f,2024-07-29T17:00:00Z,"After completing his move to Arsenal, Riccardo Calafiori revealed putting pen to paper was the culmination of a decade-long dream to sign for a Premier League club.
A whirlwind couple of days has se… [+2844 chars]",Arsenal.com
"{'id': None, 'name': 'BBC News'}",Daniele Verri,Arsenal signing Calafiori - all you need to know,"As Arsenal sign Italy defender Riccardo Calafiori, here is everything you need to know about the versatile 22-year-old.",https://www.bbc.com/sport/football/articles/crg5p3vg7pjo,https://ichef.bbci.co.uk/news/1024/branded_sport/1a35/live/53f7c760-49cf-11ef-8916-49255163624f.jpg,2024-07-29T16:27:58Z,"Bologna ended the season with just six defeats and the third best Serie A defence - behind Inter and Juventus - and much of the credit goes to Calafiori.
The Italian will now have to find his way in… [+1909 chars]",BBC News
"{'id': None, 'name': 'Sky Sports'}",,Arsenal complete Calafiori signing from Bologna,Arsenal have completed the signing of defender Riccardo Calafiori from Bologna in a deal worth £42m.,https://www.skysports.com/football/news/11670/13185282/riccardo-calafiori-arsenal-complete-deal-worth-gbp42m-to-sign-defender-from-bologna,https://e0.365dm.com/24/07/1600x900/skysports-premier-league-arsenal_6597612.jpg?20240703160206,2024-07-29T16:15:00Z,"Arsenal have completed the signing of defender Riccardo Calafiori from Bologna in a deal worth £42m.
The 22-year-old, who can play at centre-back or left-back, has signed a five-year contract with t… [+6481 chars]",Sky Sports
"{'id': None, 'name': 'Sky Sports'}",Sam Blitz and Ben Grounds,The next John Stones? Why Arsenal chose Calafiori,<em>Sky Sports</em> takes a look at why Arsenal moved for Italy defender Riccardo Calafiori and where he will fit into Mikel Arteta's side...,https://www.skysports.com/football/news/11670/13163335/riccardo-calafiori-bolognas-cult-phenomenon-being-tracked-by-arsenal-amid-chelsea-and-juventus-interest,https://e0.365dm.com/24/07/1600x900/skysports-premier-league-arsenal_6597612.jpg?20240703160206,2024-07-29T16:15:00Z,"In March 2023, Riccardo Calafiori had a chat with Heiko Vogel, his interim manager at Basel, that would change his football career.
""Ricky, do you want to maximise your career?"" said Vogel.
He repl… [+6583 chars]",Sky Sports
"{'id': None, 'name': 'Arsenal.com'}",,Riccardo Calafiori signs for Arsenal,"The 22-year-old has arrived from Bologna, and signed a long-term contract to become our second summer recruit",https://www.arsenal.com/news/riccardo-calafiori-signs-arsenal,https://www.arsenal.com/sites/default/files/styles/desktop_16x9/public/images/calafiori-signs.png?h=d797ae95&auto=webp&itok=-DtWg9ZA,2024-07-29T16:15:00Z,"After completing his move to Arsenal, Riccardo Calafiori revealed putting pen to paper was the culmination of a decade-long dream to sign for a Premier League club.
A whirlwind couple of days has se… [+2844 chars]",Arsenal.com
"{'id': None, 'name': 'Sky Sports'}",Alison Conroy and Gordon Duncan,How much can Ross County improve under the Cowie brothers?,Don Cowie is under no doubt that Ross County must improve this season as he looks to his brother to help them avoid another relegation play-off.,https://www.skysports.com/football/news/25704/13186974/ross-county-how-much-can-the-cowie-brothers-improve-the-staggies,https://e0.365dm.com/24/02/1600x900/skysports-cowie-don-ross-county_6448339.jpg?20240208101203,2024-07-29T15:00:00Z,"Don Cowie is under no doubt that Ross County must improve this season as he looks to his brother to help them avoid another relegation play-off. 
The Staggies retained their Scottish Premiership sta… [+3629 chars]",Sky Sports
"{'id': None, 'name': 'NBCSports.com'}",NBC Sports,"Liverpool vs Arsenal: How to watch live, stream link, team news, prediction",Liverpool and Arsenal square off in Philadelphia on Wednesday in an intriguing marquee friendly.,https://www.nbcsports.com/soccer/news/liverpool-vs-arsenal-how-to-watch-live-stream-link-team-news-prediction,https://s.yimg.com/ny/api/res/1.2/XBa5MPo.Z96LBarcny19rQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/nbcsports.com/c093746d60760d9f75c53d60a66c3ceb,2024-07-29T14:22:53Z,"Liverpool and Arsenal square off in Philadelphia on Wednesday in an intriguing marquee friendly.
It should be special in Philly.
[ MORE: Scores, schedule for Premier League teams touring the USA th… [+2553 chars]",NBCSports.com
